time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume
20251230  13:08:00,40.7,40.7,40.7,40.7,0,4.6,4.6,4.6,4.6,1,45.300000000000004,1
20251230  13:09:00,40.7,40.7,40.7,40.7,0,4.6,4.6,4.6,4.6,5,45.300000000000004,5
20251230  13:10:00,40.7,40.7,40.7,40.7,0,4.5,4.5,4.5,4.5,1,45.2,1
20251230  13:13:00,41.7,41.7,41.7,41.7,1,4.5,4.5,4.5,4.5,0,46.2,1
20251230  13:16:00,41.1,41.1,41.1,41.1,1,4.5,4.5,4.5,4.5,0,45.6,1
20251230  13:18:00,41.1,41.1,41.1,41.1,0,4.7,4.7,4.7,4.7,3,45.800000000000004,3
20251230  13:21:00,41.1,41.1,41.1,41.1,0,4.9,4.9,4.9,4.9,1,46.0,1
20251230  13:23:00,41.1,41.1,41.1,41.1,0,4.8,4.8,4.8,4.8,1,45.9,1
20251230  13:25:00,41.1,41.1,41.1,41.1,0,4.8,4.8,4.8,4.8,1,45.9,1
20251230  13:30:00,41.1,41.1,41.1,41.1,0,4.5,4.5,4.5,4.5,1,45.6,1
20251230  13:35:00,41.1,41.1,41.1,41.1,0,4.6,4.6,4.6,4.6,11,45.7,11
20251230  13:39:00,41.1,41.1,41.1,41.1,0,5.0,5.0,5.0,5.0,1,46.1,1
20251230  13:41:00,41.1,41.1,41.1,41.1,0,5.2,5.2,5.2,5.2,4,46.300000000000004,4
20251230  13:45:00,41.1,41.1,41.1,41.1,0,5.0,5.0,5.0,5.0,1,46.1,1
20251230  13:47:00,41.1,41.1,41.1,41.1,0,4.5,4.5,4.5,4.5,1,45.6,1
20251230  13:48:00,41.1,41.1,41.1,41.1,0,4.5,4.5,4.5,4.5,2,45.6,2
20251230  14:00:00,41.7,41.7,41.7,41.7,9,4.5,4.5,4.5,4.5,1,46.2,10
20251230  14:03:00,41.7,41.7,41.7,41.7,0,4.4,4.4,4.4,4.4,1,46.1,1
20251230  14:04:00,41.7,41.7,41.7,41.7,0,4.5,4.5,4.5,4.5,1,46.2,1
20251230  14:05:00,41.7,41.7,41.7,41.7,0,4.9,5.0,4.9,4.9,4,46.6,4
20251230  14:06:00,41.7,41.7,41.7,41.7,0,4.8,4.9,4.8,4.9,12,46.6,12
20251230  14:07:00,41.7,41.7,41.7,41.7,0,4.7,4.7,4.7,4.7,1,46.400000000000006,1
20251230  14:08:00,41.7,41.7,41.7,41.7,0,4.5,4.5,4.5,4.5,1,46.2,1
20251230  14:10:00,41.7,41.7,41.7,41.7,0,4.8,4.9,4.8,4.9,11,46.6,11
20251230  14:11:00,41.7,41.7,41.7,41.7,0,4.7,4.7,4.7,4.7,1,46.400000000000006,1
20251230  14:13:00,41.7,41.7,41.7,41.7,0,4.4,4.4,4.4,4.4,1,46.1,1
20251230  14:15:00,41.7,41.7,41.7,41.7,0,4.3,4.3,4.3,4.3,2,46.0,2
20251230  14:25:00,41.7,41.7,41.7,41.7,0,4.1,4.1,4.1,4.1,1,45.800000000000004,1
20251230  14:29:00,41.7,41.7,41.7,41.7,0,4.0,4.0,4.0,4.0,1,45.7,1
20251230  14:31:00,41.7,41.7,41.7,41.7,0,3.9,3.9,3.9,3.9,1,45.6,1
20251230  14:36:00,41.7,41.7,41.7,41.7,0,4.2,4.2,4.2,4.2,2,45.900000000000006,2
20251230  14:49:00,41.7,41.7,41.7,41.7,0,4.1,4.1,4.1,4.1,2,45.800000000000004,2
20251230  14:50:00,41.7,41.7,41.7,41.7,0,4.0,4.0,4.0,4.0,1,45.7,1
20251230  14:51:00,41.7,41.7,41.7,41.7,0,4.1,4.2,4.1,4.2,30,45.900000000000006,30
20251230  14:52:00,41.7,41.7,41.7,41.7,0,4.2,4.5,4.2,4.5,7,46.2,7
20251230  14:53:00,41.7,41.7,41.7,41.7,0,4.5,4.5,4.5,4.5,10,46.2,10
20251230  14:54:00,39.0,39.1,39.0,39.1,2,4.5,4.5,4.5,4.5,0,43.6,2
20251230  14:55:00,39.5,39.5,39.5,39.5,1,4.5,4.5,4.5,4.5,2,44.0,3
20251230  14:58:00,39.5,39.5,39.5,39.5,0,4.4,4.4,4.4,4.4,1,43.9,1
20251230  15:00:00,39.5,39.5,39.5,39.5,0,4.3,4.3,4.2,4.2,4,43.7,4
20251230  15:01:00,39.5,39.5,39.5,39.5,0,4.2,4.2,4.2,4.2,1,43.7,1
20251230  15:03:00,39.5,39.5,39.5,39.5,0,4.2,4.2,4.2,4.2,3,43.7,3
20251230  15:06:00,39.5,39.5,39.5,39.5,0,4.5,4.7,4.5,4.7,2,44.2,2
20251230  15:07:00,39.5,39.5,39.5,39.5,0,4.7,4.7,4.7,4.7,1,44.2,1
20251230  15:11:00,39.5,39.5,39.5,39.5,0,4.8,5.1,4.8,5.1,19,44.6,19
20251230  15:12:00,39.5,39.5,39.5,39.5,0,5.2,5.3,4.9,4.9,11,44.4,11
20251230  15:13:00,39.5,39.5,39.5,39.5,0,5.0,5.0,4.8,4.8,5,44.3,5
20251230  15:14:00,39.5,39.5,39.5,39.5,0,4.7,4.8,4.7,4.8,2,44.3,2
20251230  15:15:00,39.5,39.5,39.5,39.5,0,4.8,4.8,4.7,4.7,2,44.2,2
