time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume,turnover,cum_turnover,cum_volume,vwap
20251219  21:27:00,2.25,2.25,2.25,2.25,0,2.35,2.35,2.35,2.35,1,4.6,1,4.6,719.1300000000003,135,5.326888888888892
20251219  21:29:00,2.27,2.27,2.27,2.27,1,2.35,2.35,2.35,2.35,0,4.62,1,4.62,723.7500000000003,136,5.3216911764705905
20251219  21:30:00,2.12,2.12,2.12,2.12,1,2.48,2.5,2.47,2.47,6,4.59,7,32.129999999999995,755.8800000000003,143,5.285874125874129
20251219  21:33:00,2.12,2.12,2.12,2.12,0,2.11,2.11,2.11,2.11,1,4.23,1,4.23,760.1100000000004,144,5.278541666666669
20251219  21:36:00,2.12,2.12,2.12,2.12,0,1.88,1.88,1.87,1.87,2,3.99,2,7.98,768.0900000000004,146,5.260890410958907
20251219  21:47:00,2.67,2.67,2.67,2.67,1,1.87,1.87,1.87,1.87,0,4.54,1,4.54,772.6300000000003,147,5.255986394557826
20251219  21:50:00,2.68,2.68,2.68,2.68,2,1.87,1.87,1.87,1.87,0,4.550000000000001,2,9.100000000000001,781.7300000000004,149,5.246510067114096
20251219  21:54:00,2.68,2.68,2.68,2.68,0,1.89,1.89,1.89,1.89,1,4.57,1,4.57,786.3000000000004,150,5.242000000000003
20251219  21:56:00,2.66,2.66,2.66,2.66,2,1.89,1.89,1.89,1.89,0,4.55,2,9.1,795.4000000000004,152,5.232894736842108
20251219  22:05:00,2.72,2.72,2.72,2.72,3,1.62,1.62,1.62,1.62,2,4.34,5,21.7,817.1000000000005,157,5.204458598726117
20251219  22:07:00,2.75,2.75,2.75,2.75,4,1.62,1.62,1.62,1.62,0,4.37,4,17.48,834.5800000000005,161,5.183726708074537
20251219  22:08:00,2.63,2.63,2.63,2.63,1,1.62,1.62,1.62,1.62,0,4.25,1,4.25,838.8300000000005,162,5.177962962962966
20251219  22:16:00,2.63,2.63,2.63,2.63,0,1.75,1.75,1.75,1.75,1,4.38,1,4.38,843.2100000000005,163,5.17306748466258
20251219  22:19:00,2.63,2.63,2.63,2.63,0,1.92,1.92,1.92,1.92,6,4.55,6,27.299999999999997,870.5100000000004,169,5.150946745562133
20251219  22:25:00,2.55,2.55,2.46,2.46,4,1.92,1.92,1.92,1.92,0,4.38,4,17.52,888.0300000000004,173,5.133121387283239
20251219  22:44:00,2.62,2.62,2.62,2.62,3,1.92,1.92,1.92,1.92,0,4.54,3,13.620000000000001,901.6500000000004,176,5.123011363636366
20251219  22:47:00,2.62,2.62,2.62,2.62,0,1.4,1.4,1.4,1.4,22,4.02,22,88.44,990.0900000000004,198,5.000454545454548
20251219  22:48:00,2.62,2.62,2.62,2.62,0,1.43,1.43,1.43,1.43,1,4.05,1,4.05,994.1400000000003,199,4.9956783919598005
20251219  22:49:00,3.01,3.01,3.01,3.01,1,1.43,1.43,1.43,1.43,0,4.4399999999999995,1,4.4399999999999995,998.5800000000004,200,4.992900000000002
20251219  22:51:00,3.01,3.01,3.01,3.01,4,1.43,1.43,1.43,1.43,0,4.4399999999999995,4,17.759999999999998,1016.3400000000004,204,4.982058823529414
20251219  22:57:00,3.01,3.01,3.01,3.01,0,1.36,1.36,1.36,1.36,1,4.37,1,4.37,1020.7100000000004,205,4.979073170731709
20251219  22:58:00,3.01,3.01,3.01,3.01,0,1.34,1.34,1.34,1.34,1,4.35,1,4.35,1025.0600000000004,206,4.97601941747573
20251219  23:00:00,2.9,2.9,2.9,2.9,1,1.34,1.34,1.34,1.34,0,4.24,1,4.24,1029.3000000000004,207,4.972463768115944
20251219  23:07:00,2.9,2.9,2.9,2.9,0,1.35,1.35,1.35,1.35,2,4.25,2,8.5,1037.8000000000004,209,4.965550239234452
20251219  23:23:00,2.96,2.96,2.96,2.96,1,1.35,1.35,1.35,1.35,0,4.3100000000000005,1,4.3100000000000005,1042.1100000000004,210,4.962428571428573
20251219  23:24:00,2.96,2.96,2.96,2.96,0,1.21,1.21,1.21,1.21,1,4.17,1,4.17,1046.2800000000004,211,4.958672985781993
